team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
STL,2008,STL,2008020014,STL,NSH,HOME,20081010,Team Level,other,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STL,2008,STL,2008020014,STL,NSH,HOME,20081010,Team Level,all,0.6152,0.4674,0.48,3600,26.094,2.435,1.982,5.402,0.814,14.837,10.53,2.399,2.42,2.384,22,14,7,43,5,1,0,2,0,12,16,17,31,4,8,27,18,7,4,25,10,1,0.924,1.22,0.291,1,3,1,44.767,36,36.611,2,0.444,0.11,0.11,2.769,2.762,2.719,26.382,1.523,1.647,6.18,0.838,15.486,12.391,1.518,1.539,1.534,22,17,10,49,2,3,1,5,2,12,15,20,37,6,12,28,23,3,2,36,2,1,0.982,0.236,0.305,1,1,0,47.233,39,38.176,1,0.354,0.131,0.131,1.745,1.766,1.762
STL,2008,STL,2008020014,STL,NSH,HOME,20081010,Team Level,5on5,0.5394,0.4429,0.4407,2715,18.829,1.308,1.197,4.049,0.566,10.839,8.041,1.295,1.293,1.28,15,11,5,31,1,1,0,1,0,9,14,14,25,4,8,18,15,6,2,22,4,0,0.789,0.52,0,1,0,0,32.767,26,26.61,1,0.245,0.11,0.11,1.444,1.436,1.421,22.456,1.117,1.362,5.441,0.704,12.842,10.599,1.112,1.133,1.128,22,11,6,39,2,3,1,5,2,10,11,20,31,5,10,20,21,3,2,31,2,0,0.881,0.236,0,1,1,0,37.233,33,32.176,1,0.276,0.131,0.131,1.261,1.282,1.278
STL,2008,STL,2008020014,STL,NSH,HOME,20081010,Team Level,4on5,0.199,0.1818,0.1667,389,0.752,0.082,0.057,0.096,0.023,0.225,0.517,0.082,0.082,0.082,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,1,0,0,0.082,0,0,0,0,2,1,1,0,0.012,0,0,0.095,0.095,0.095,3.397,0.33,0.254,0.669,0.111,2.406,1.23,0.33,0.33,0.33,0,5,4,9,0,0,0,0,0,2,3,0,5,1,2,2,0,0,0,4,0,1,0.025,0,0.305,0,0,0,9,5,5,0,0.071,0,0,0.401,0.401,0.401
STL,2008,STL,2008020014,STL,NSH,HOME,20081010,Team Level,5on4,0.9321,0.9091,0.9,405,6.512,1.044,0.728,1.257,0.225,3.774,1.972,1.022,1.044,1.022,7,2,1,10,4,0,0,1,0,2,2,3,5,0,0,3,0,0,2,3,5,1,0.136,0.618,0.291,0,3,1,10,9,9,1,0.187,0,0,1.231,1.231,1.203,0.529,0.076,0.031,0.07,0.022,0.238,0.562,0.076,0.076,0.076,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,2,0,0,1,0,0,0.076,0,0,0,0,0,1,1,1,0,0.007,0,0,0.083,0.083,0.083
STL,2008,STL,2008020018,STL,NYI,AWAY,20081011,Team Level,other,0,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.789,0.812,0.004,0.006,0.012,0.077,0.09,0.812,0.812,0.812,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.812,0,0,1,1,1,1,0,0.001,0,0,0.813,0.813,0.813
STL,2008,STL,2008020018,STL,NYI,AWAY,20081011,Team Level,all,0.389,0.4786,0.4235,3600,26.321,2.533,1.92,5.691,0.816,14.692,10.348,2.518,2.497,2.482,26,10,20,56,2,2,1,6,1,8,17,24,34,4,8,30,16,16,10,26,9,1,0.526,1.208,0.8,0,1,1,52.573,36,34.796,2,0.42,0.81,0.81,2.143,2.1,2.088,33.772,3.979,2.554,7.173,1.145,19.979,14.17,3.906,4.024,3.95,34,15,12,61,5,4,2,9,0,17,14,29,44,3,6,27,26,16,9,36,10,3,1.41,1.139,1.43,2,0,3,65.314,49,50.788,4,0.537,0.741,0.741,3.775,3.824,3.775
STL,2008,STL,2008020018,STL,NYI,AWAY,20081011,Team Level,5on5,0.4118,0.4725,0.4091,2820,19.967,1.671,1.407,4.328,0.577,10.633,8.385,1.662,1.634,1.626,20,7,16,43,1,0,0,5,0,6,15,19,26,4,8,21,15,14,9,18,9,0,0.463,1.208,0,0,1,0,39.573,27,25.796,2,0.288,0,0,1.959,1.916,1.904,26.623,2.387,1.993,5.983,0.925,16.609,11.103,2.343,2.432,2.386,27,12,9,48,2,3,1,9,0,14,11,25,37,3,6,23,21,11,6,30,8,1,1.12,0.922,0.346,1,0,1,52.314,39,40.788,3,0.408,0.469,0.469,2.326,2.375,2.335
STL,2008,STL,2008020018,STL,NYI,AWAY,20081011,Team Level,4on5,0,0.1111,0,461,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.997,0.409,0.383,0.773,0.137,2.645,1.654,0.404,0.409,0.404,3,3,2,8,1,0,0,0,0,3,2,2,5,0,0,3,4,2,2,5,1,0,0.278,0.131,0,1,0,0,8,6,6,0,0.088,0,0,0.497,0.497,0.49
STL,2008,STL,2008020018,STL,NYI,AWAY,20081011,Team Level,5on4,0.6994,0.7333,0.75,282,6.354,0.863,0.513,1.363,0.239,4.059,1.963,0.856,0.863,0.856,6,3,2,11,1,2,1,1,1,2,2,5,8,0,0,7,0,0,1,8,0,1,0.063,0,0.8,0,0,1,11,9,9,0,0.132,0.81,0.81,0.184,0.184,0.184,2.363,0.371,0.174,0.412,0.071,0.648,1.324,0.348,0.371,0.348,3,0,1,4,1,1,1,0,0,0,1,2,2,0,0,1,1,1,1,1,1,1,0.012,0.087,0.272,0,0,1,4,3,3,1,0.04,0.272,0.272,0.139,0.139,0.137
