team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
STL,2010,STL,2010020019,STL,PHI,HOME,20101009,Team Level,other,0.3665,0.48,0.5238,473,7.642,0.719,0.517,1.574,0.254,4.805,3.131,0.685,0.719,0.685,8,3,1,12,2,0,0,1,0,4,4,6,9,3,9,4,4,1,1,7,4,0,0.263,0.456,0,1,1,0,12,11,11,0,0.145,0,0,0.864,0.864,0.825,7.465,1.243,0.413,1.398,0.235,3.246,3.465,1.055,1.243,1.055,4,6,3,13,0,1,0,1,0,5,3,4,10,3,9,6,4,1,0,6,1,3,0.165,0.138,0.939,0,0,0,13,10,10,0,0.138,0.28,0.28,1.1,1.1,0.933
STL,2010,STL,2010020019,STL,PHI,HOME,20101009,Team Level,all,0.4043,0.5,0.5,3707,31.578,2.712,2.291,6.996,1.032,18.584,12.384,2.629,2.678,2.596,25,19,15,59,2,1,0,2,3,16,20,23,42,10,23,29,22,7,5,32,12,0,1.255,1.457,0,1,1,0,58.88,44,44.126,0,0.529,0.045,0.045,3.196,3.157,3.068,31.732,3.996,2.066,6.351,0.985,16.095,14.507,3.762,4.047,3.811,30,14,15,59,1,3,1,2,1,19,18,29,43,14,31,22,13,6,6,32,5,7,0.914,0.645,2.437,0,0,1,59.119,44,44.029,5,0.511,0.733,0.733,3.774,3.811,3.636
STL,2010,STL,2010020019,STL,PHI,HOME,20101009,Team Level,5on5,0.4794,0.4848,0.4906,2208,19.087,1.5,1.422,4.399,0.61,10.741,7.327,1.45,1.466,1.417,13,13,6,32,0,1,0,1,3,11,10,13,26,6,12,13,16,5,1,20,6,0,0.74,0.76,0,0,0,0,31.88,26,26.126,0,0.292,0.045,0.045,1.747,1.708,1.659,19.638,1.629,1.322,4.414,0.599,10.832,8.204,1.582,1.68,1.632,22,5,7,34,1,2,1,1,0,12,11,21,26,10,20,12,9,3,5,21,4,2,0.61,0.507,0.512,0,0,1,34.119,27,27.029,4,0.268,0.452,0.452,1.445,1.482,1.474
STL,2010,STL,2010020019,STL,PHI,HOME,20101009,Team Level,4on5,0.0419,0.125,0.2,318,0.772,0.044,0.03,0.133,0.024,0.235,0.533,0.044,0.044,0.044,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,1,0,0,0.044,0,0,0,0,0,1,1,1,0,0.007,0,0,0.051,0.051,0.051,2.869,1.007,0.237,0.338,0.099,1.594,0.725,1.006,1.007,1.006,1,3,3,7,0,0,0,0,1,1,2,1,4,1,2,1,0,0,1,2,0,2,0.021,0,0.986,0,0,0,7,4,4,1,0.083,0,0,1.09,1.09,1.09
STL,2010,STL,2010020019,STL,PHI,HOME,20101009,Team Level,5on4,0.7919,0.7368,0.6667,708,4.078,0.449,0.322,0.89,0.144,2.802,1.392,0.449,0.449,0.449,3,3,8,14,0,0,0,0,0,1,5,3,6,1,2,8,2,1,3,4,2,0,0.208,0.241,0,0,0,0,14,6,6,0,0.084,0,0,0.534,0.534,0.533,1.76,0.118,0.093,0.201,0.052,0.423,2.113,0.118,0.118,0.118,3,0,2,5,0,0,0,0,0,1,2,3,3,0,0,3,0,2,0,3,0,0,0.118,0,0,0,0,0,5,3,3,0,0.021,0,0,0.139,0.139,0.139
STL,2010,STL,2010020029,STL,ANA,HOME,20101011,Team Level,other,0.9755,0.8333,0.8,149,2.782,0.398,0.207,0.55,0.118,1.659,1.067,0.242,0.398,0.242,2,2,1,5,0,0,0,2,0,1,1,2,4,0,0,3,0,0,0,2,2,0,0.091,0.307,0,0,0,0,5,4,4,0,0.066,0,0,0.464,0.464,0.283,0.706,0.01,0.046,0.116,0.019,0.46,0.35,0.01,0.01,0.01,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0.01,0,0,0,0,0,1,1,1,0,0.01,0,0,0.02,0.02,0.02
STL,2010,STL,2010020029,STL,ANA,HOME,20101011,Team Level,all,0.865,0.7664,0.7791,3600,47.748,5.249,3.72,10.5,1.773,27.688,18.07,4.907,5.277,4.934,53,14,15,82,5,4,0,10,1,23,24,48,62,14,45,27,13,4,7,48,15,4,1.82,2.112,1.317,1,4,0,84.748,67,68.174,4,0.9,0.982,0.982,5.167,5.182,4.824,14.194,0.819,1.128,3.618,0.439,7.703,5.293,0.819,0.811,0.811,14,5,6,25,1,1,0,2,1,3,11,13,18,19,58,23,17,1,4,17,1,1,0.397,0.162,0.261,0,1,0,24.196,19,18.604,2,0.258,0.017,0.017,1.06,1.05,1.05
STL,2010,STL,2010020029,STL,ANA,HOME,20101011,Team Level,5on5,0.8235,0.7091,0.7333,1916,23.7,2.412,1.73,5.446,0.751,13.545,9.116,2.342,2.44,2.369,29,4,6,39,3,3,0,6,0,6,15,26,30,14,45,13,11,4,4,23,8,2,0.639,1.094,0.68,1,2,0,41.748,33,34.174,3,0.361,0.564,0.564,2.209,2.224,2.155,8.798,0.517,0.581,2.158,0.28,4.817,3.647,0.517,0.509,0.509,8,4,4,16,0,0,0,0,1,3,8,8,12,18,56,10,14,1,3,11,0,1,0.257,0,0.261,0,0,0,15.196,12,11.604,2,0.117,0,0,0.635,0.625,0.625
STL,2010,STL,2010020029,STL,ANA,HOME,20101011,Team Level,4on5,0.384,0.2,0.25,440,1.503,0.182,0.086,0.206,0.042,0.456,1.029,0.182,0.182,0.182,2,0,0,2,1,0,0,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0,0.021,0.162,0,0,1,0,2,2,2,1,0.019,0,0,0.201,0.201,0.201,4.69,0.292,0.501,1.344,0.14,2.426,1.297,0.292,0.292,0.292,6,0,2,8,1,1,0,2,0,0,2,5,5,0,0,4,1,0,0,5,1,0,0.131,0.162,0,0,1,0,8,6,6,0,0.13,0.017,0.017,0.405,0.405,0.405
STL,2010,STL,2010020029,STL,ANA,HOME,20101011,Team Level,5on4,1,1,1,1095,19.763,2.257,1.698,4.298,0.863,12.027,6.858,2.141,2.257,2.141,20,8,8,36,1,1,0,2,1,16,7,19,27,0,0,7,1,0,2,22,4,2,1.07,0.55,0.637,0,1,0,36,28,28,0,0.455,0.418,0.418,2.294,2.294,2.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
