team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
STL,2009,STL,2009020008,STL,DET,AWAY,20091002,Team Level,other,0.6661,0.1429,0.25,151,0.575,0.413,0.012,0.016,0.018,0.153,0.388,0.413,0.413,0.413,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0.413,0,0,0,1,1,1,0,0.004,0,0,0.417,0.417,0.417,2.122,0.207,0.202,0.401,0.083,1.651,0.456,0.203,0.207,0.203,3,0,3,6,0,0,0,2,0,1,0,3,3,0,0,4,0,0,1,2,1,0,0.125,0.083,0,0,0,0,6,3,3,0,0.059,0,0,0.266,0.266,0.261
STL,2009,STL,2009020008,STL,DET,AWAY,20091002,Team Level,all,0.4519,0.4348,0.4578,3600,27.138,3.113,1.85,5.63,0.839,14.837,11.733,3.071,3.26,3.216,23,15,12,50,4,2,1,4,0,12,16,19,34,4,10,29,35,10,13,26,8,4,0.738,0.851,1.523,0,1,3,52.024,38,39.602,7,0.428,0.33,0.33,3.211,3.362,3.341,33.859,3.775,2.544,6.937,0.987,18.18,12.577,3.667,3.677,3.573,34,11,20,65,3,2,1,12,2,15,11,31,42,4,8,34,31,6,13,30,11,4,1.275,1.398,1.101,1,0,2,63.627,45,44.191,5,0.566,0.591,0.591,3.749,3.651,3.574
STL,2009,STL,2009020008,STL,DET,AWAY,20091002,Team Level,5on5,0.4294,0.4444,0.431,2666,18.689,2.033,1.177,3.971,0.537,9.683,7.599,1.995,2.18,2.14,17,8,11,36,3,1,1,3,0,7,11,14,22,3,8,18,32,7,12,15,8,2,0.56,0.851,0.622,0,1,2,38.024,25,26.602,7,0.244,0.267,0.267,2.009,2.161,2.144,25.24,2.701,1.827,5.347,0.72,12.784,9.62,2.609,2.604,2.515,24,9,12,45,1,2,1,7,2,11,10,23,32,4,8,22,25,4,10,22,8,3,0.827,1.053,0.821,0,0,1,43.627,33,32.191,4,0.386,0.591,0.591,2.496,2.398,2.339
STL,2009,STL,2009020008,STL,DET,AWAY,20091002,Team Level,4on5,0.0436,0.1429,0.2222,391,0.973,0.024,0.037,0.132,0.032,0.259,1.516,0.024,0.024,0.024,2,0,0,2,0,0,0,0,0,2,0,2,2,1,2,3,2,1,0,2,0,0,0.024,0,0,0,0,0,2,2,2,0,0.009,0,0,0.033,0.033,0.033,4.899,0.527,0.399,1.022,0.147,3.327,1.578,0.516,0.527,0.516,6,1,5,12,1,0,0,3,0,3,0,5,6,0,0,4,4,1,1,5,2,0,0.265,0.262,0,1,0,0,12,7,7,0,0.096,0,0,0.623,0.623,0.609
STL,2009,STL,2009020008,STL,DET,AWAY,20091002,Team Level,5on4,0.6548,0.8462,0.8333,392,6.901,0.643,0.623,1.51,0.252,4.742,2.229,0.639,0.643,0.639,4,6,1,11,1,1,0,1,0,3,4,3,9,0,0,7,1,1,1,9,0,1,0.155,0,0.489,0,0,1,11,10,10,0,0.171,0.063,0.063,0.752,0.752,0.748,1.598,0.339,0.115,0.167,0.037,0.418,0.923,0.339,0.339,0.339,1,1,0,2,1,0,0,0,0,0,1,0,1,0,0,4,2,1,1,1,0,1,0.059,0,0.28,0,0,1,2,2,2,1,0.025,0,0,0.364,0.364,0.364
STL,2009,STL,2009020020,STL,DET,HOME,20091003,Team Level,other,0.2532,0.2308,0.2,283,1.298,0.119,0.182,0.257,0.043,1.138,0.262,0.113,0.119,0.113,2,0,1,3,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,0,0,0.119,0,0,0,0,0,3,2,2,0,0.057,0,0,0.176,0.176,0.167,5.559,0.351,0.469,1.035,0.212,3.121,2.811,0.333,0.351,0.333,7,1,2,10,0,1,0,3,0,2,2,7,8,0,0,4,1,0,0,7,1,0,0.238,0.113,0,0,0,0,10,8,8,0,0.138,0.017,0.017,0.472,0.472,0.45
STL,2009,STL,2009020020,STL,DET,HOME,20091003,Team Level,all,0.4914,0.4472,0.4545,3600,27.973,2.538,2.007,6.508,0.879,16.658,11.41,2.444,2.485,2.392,32,8,15,55,5,2,1,10,1,12,10,27,35,6,12,26,38,4,15,30,7,3,0.876,0.914,0.748,1,2,2,54.262,40,39.649,7,0.46,0.453,0.453,2.545,2.484,2.436,33.454,2.627,2.514,7.527,1.1,20.138,14.095,2.529,2.755,2.649,33,15,20,68,3,3,0,10,0,20,12,30,45,6,12,38,29,8,11,38,8,2,0.857,1.049,0.722,1,1,1,69.937,48,49.499,6,0.591,0.512,0.512,2.706,2.813,2.71
STL,2009,STL,2009020020,STL,DET,HOME,20091003,Team Level,5on5,0.4128,0.4857,0.5,2643,18.877,1.236,1.134,4.58,0.578,11.406,8.066,1.236,1.184,1.183,19,8,7,34,2,0,0,7,1,8,9,17,25,6,12,15,34,4,14,22,5,0,0.639,0.597,0,1,1,0,33.262,27,26.649,7,0.229,0,0,1.466,1.404,1.403,19.432,1.758,1.258,4.605,0.599,10.624,8.157,1.68,1.886,1.801,19,8,9,36,2,2,0,5,0,10,8,17,25,5,10,26,26,8,9,19,7,1,0.525,0.936,0.297,1,1,0,37.937,27,28.499,5,0.257,0.495,0.495,1.52,1.627,1.551
STL,2009,STL,2009020020,STL,DET,HOME,20091003,Team Level,4on5,0.0019,0.0435,0.0714,430,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,2,0,0,1,0,0,0.001,0,0,0,0,0,1,1,1,0,0.003,0,0,0.004,0.004,0.004,8.463,0.518,0.786,1.886,0.289,6.393,3.128,0.515,0.518,0.515,7,6,9,22,1,0,0,2,0,8,2,6,12,0,0,6,1,0,1,12,0,1,0.093,0,0.425,0,0,1,22,13,13,0,0.196,0,0,0.714,0.714,0.71
STL,2009,STL,2009020020,STL,DET,HOME,20091003,Team Level,5on4,1,1,1,244,7.499,1.182,0.682,1.661,0.247,4.104,2.124,1.095,1.182,1.095,10,0,7,17,3,2,1,3,0,2,0,7,7,0,0,5,2,0,1,5,2,3,0.117,0.317,0.748,0,1,2,17,10,10,0,0.171,0.453,0.453,0.9,0.9,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
